,Expense_id,ExpenseName
382,WEEKLY PAYMENTS,WEEKLY PAYMENTS
383,SERVICES-PHYSICAL THERAPY,SERVICES-PHYSICAL THERAPY
384,SERVICES-CHIROPRACTIC,SERVICES-CHIROPRACTIC
385,SERVICES-HOSPITAL OUTPATIENT,SERVICES-HOSPITAL OUTPATIENT
386,SERVICES-HOSPITAL INPATIENT,SERVICES-HOSPITAL INPATIENT
387,WELLNESS PRGRM- WORKERS COMP MEDICAL,WELLNESS PRGRM- WORKERS COMP MEDICAL
388,DRUGS,DRUGS
389,WC TERMINAL PAYMENTS,WC TERMINAL PAYMENTS
390,SERVICES-EMPLOYEE ASSISTANCE,SERVICES-EMPLOYEE ASSISTANCE
391,SERVICES-LEGAL FEES BENEFIT,SERVICES-LEGAL FEES BENEFIT
392,VISION PROGRAM SERVICES,VISION PROGRAM SERVICES
393,SERVICES-BENEFITS MANAGEMENT,SERVICES-BENEFITS MANAGEMENT
394,DENTAL HMO PREMIUMS,DENTAL HMO PREMIUMS
395,OTHER HEALTH PREMIUMS,OTHER HEALTH PREMIUMS
396,HEALTH CARE REFORM FEES & TAXES,HEALTH CARE REFORM FEES & TAXES
397,MEDICARE ADVANTAGE PREMIUMS,MEDICARE ADVANTAGE PREMIUMS
398,SEASONAL EMPLOYEES,SEASONAL EMPLOYEES
399,TRF TO PW-TRANSPORTATION CIP,TRF TO PW-TRANSPORTATION CIP
400,TRF TO CAPITAL DS CIP (D6007),TRF TO CAPITAL DS CIP (D6007)
401,SERVICES-ARCHITECTURAL,SERVICES-ARCHITECTURAL
402,RENTAL-UNIFORMS,RENTAL-UNIFORMS
403,FLEET-EQUIP. ABUSE REPAIRS,FLEET-EQUIP. ABUSE REPAIRS
404,GUARDRAILS AND MATERIALS,GUARDRAILS AND MATERIALS
405,ELECTRIC GENERATORS,ELECTRIC GENERATORS
406,CHILLED WATER SERVICE,CHILLED WATER SERVICE
407,STORM DRAINAGE,STORM DRAINAGE
408,TFR TO UTILITY DEBT MGMT FUND,TFR TO UTILITY DEBT MGMT FUND
409,TRF TO OTHER ENTERPRISE DS RSV,TRF TO OTHER ENTERPRISE DS RSV
410,LOAN PROCEEDS DISBURSEMENTS,LOAN PROCEEDS DISBURSEMENTS
411,TRF TO HOUSING CIP FUND,TRF TO HOUSING CIP FUND
412,CIP APPR-GEN OBLIG BONDS,CIP APPR-GEN OBLIG BONDS
413,RENTAL-COMPUTER SOFTWARE,RENTAL-COMPUTER SOFTWARE
414,MICROFILMING,MICROFILMING
415,UNPLANNED LOSSES,UNPLANNED LOSSES
416,PURCH.CARD COSTS TO RECLASSIFY,PURCH.CARD COSTS TO RECLASSIFY
417,CREDIT CARD ADMIN FEES,CREDIT CARD ADMIN FEES
418,SERVICES-APPRAISAL DISTRICTS,SERVICES-APPRAISAL DISTRICTS
419,EARNEST MONEY,EARNEST MONEY
420,UNCLAIMED PROPERTY DISBURSEMENT,UNCLAIMED PROPERTY DISBURSEMENT
421,FURNISHINGS,FURNISHINGS
422,MAIL DISTRIBUTION COST,MAIL DISTRIBUTION COST
423,TOOL ALLOWANCES,TOOL ALLOWANCES
424,BRIDGES/CAROUSELS,BRIDGES/CAROUSELS
425,FUEL-AUXILIARY EQUIPMENT,FUEL-AUXILIARY EQUIPMENT
426,MAINTENANCE-BRIDGES/CAROUSE,MAINTENANCE-BRIDGES/CAROUSE
427,DISCRETIONARY RELOCATION ALLOW,DISCRETIONARY RELOCATION ALLOW
428,LIABILITY INSURANCE PREMIUM,LIABILITY INSURANCE PREMIUM
429,TRF TO AIRPORT CAPITAL FUND,TRF TO AIRPORT CAPITAL FUND
430,TRF TO AIRPORT OPERATING RSV,TRF TO AIRPORT OPERATING RSV
431,TRF TO AIRPORT OPERATING FUND,TRF TO AIRPORT OPERATING FUND
432,TRF TO AIRPORT CIP FUND,TRF TO AIRPORT CIP FUND
433,TRF TO TOWN LAKE VENUE D/S FND,TRF TO TOWN LAKE VENUE D/S FND
434,TRF TO PEC OPERATING FUND,TRF TO PEC OPERATING FUND
435,TRF TO PEC GARAGE FUND,TRF TO PEC GARAGE FUND
436,TRF TO PID FUND,TRF TO PID FUND
437,TRF TO TOURISM & PROMOTION FND,TRF TO TOURISM & PROMOTION FND
438,TRF TO CONV CTR CAPITAL FUND,TRF TO CONV CTR CAPITAL FUND
439,TRF TO HISTORICAL PRESERVATION FUND,TRF TO HISTORICAL PRESERVATION FUND
440,TRF TO CONVENTION CENTER,TRF TO CONVENTION CENTER
441,TRF TO CONV CTR CIP FUND,TRF TO CONV CTR CIP FUND
442,TRF TO ACCD HOT D/S FUND,TRF TO ACCD HOT D/S FUND
443,INTERDEPTL-ADMIN CONV CTR/PEC,INTERDEPTL-ADMIN CONV CTR/PEC
444,LONGEVITY PAY-CIVIL SERVICE,LONGEVITY PAY-CIVIL SERVICE
445,HIGHER CLASS PAY,HIGHER CLASS PAY
446,RECREATIONAL SUPPLIES,RECREATIONAL SUPPLIES
447,COMP TIME PAID,COMP TIME PAID
448,SERVICES-ENERGY,SERVICES-ENERGY
449,SERVICES-BOOKS-LIBRARY-PLATFORM AS A SERVICE,SERVICES-BOOKS-LIBRARY-PLATFORM AS A SERVICE
450,MAINTENANCE-AIR COMPRESSORS,MAINTENANCE-AIR COMPRESSORS
451,TRANSPORTATION FEE EXPENSE,TRANSPORTATION FEE EXPENSE
452,ANIMAL SUPPLIES,ANIMAL SUPPLIES
453,INKIND COSTS-CITY,INKIND COSTS-CITY
454,INTERDEPTL-INDIRECT COST,INTERDEPTL-INDIRECT COST
455,CIP APPR-INSURANCE PROCEEDS,CIP APPR-INSURANCE PROCEEDS
456,EXPLOSIVES/BLASTING,EXPLOSIVES/BLASTING
457,27TH PAYROLL-EXPENSE-FSD ONLY,27TH PAYROLL-EXPENSE-FSD ONLY
458,SERVICES-TRANS (NON-EMERG),SERVICES-TRANS (NON-EMERG)
459,CUSTOMER ASSISTANCE PROG COSTS,CUSTOMER ASSISTANCE PROG COSTS
460,GRANTS TO OTHERS-NONSUBRECIPIENT,GRANTS TO OTHERS-NONSUBRECIPIENT
461,DEFAULT INVENTORY ISSUES,DEFAULT INVENTORY ISSUES
462,COMMUNICATIONS EQUIPMENT,COMMUNICATIONS EQUIPMENT
463,SERVICES-MEDICAL STIPEND,SERVICES-MEDICAL STIPEND
464,FAYETTE OPERATING EXPENSE,FAYETTE OPERATING EXPENSE
465,DECOMMISSIONING EXPENSE-STP,DECOMMISSIONING EXPENSE-STP
466,TRANSMISSION COST OF SERVICE,TRANSMISSION COST OF SERVICE
467,INSURANCE-BOILER/DWELLING,INSURANCE-BOILER/DWELLING
468,FRANCHISE FEES - RIGHTS OF WAY,FRANCHISE FEES - RIGHTS OF WAY
469,TFR TO UTILITY D/S SUB LIEN,TFR TO UTILITY D/S SUB LIEN
470,TRF TO UTIL D/S SEPARATE LIEN,TRF TO UTIL D/S SEPARATE LIEN
471,TRF TO VOL UTILITY ASST (7160),TRF TO VOL UTILITY ASST (7160)
472,TRF TO ELECTRIC CIP FUND,TRF TO ELECTRIC CIP FUND
473,TFR TO UTILITY D/S S/L WDB,TFR TO UTILITY D/S S/L WDB
474,COMMERCIAL PAPER INTEREST,COMMERCIAL PAPER INTEREST
475,SURETY BOND AMORT EXPENSE,SURETY BOND AMORT EXPENSE
476,SERVICES-ACCOUNTING,SERVICES-ACCOUNTING
477,TFR TO UTIL D/S TAX/REV BONDS,TFR TO UTIL D/S TAX/REV BONDS
478,TRF TO WATER REVENUE STAB RSV,TRF TO WATER REVENUE STAB RSV
479,INTRADEPTL CHGS-STREET CUT RPR,INTRADEPTL CHGS-STREET CUT RPR
480,MULTIFAMILY CUST ASST PROG COSTS,MULTIFAMILY CUST ASST PROG COSTS
481,TRF TO CONV CTR TAX FUND,TRF TO CONV CTR TAX FUND
482,TRF TO CULTURAL ARTS FUND,TRF TO CULTURAL ARTS FUND
483,TRF TO CONV CTR VENUE FUND,TRF TO CONV CTR VENUE FUND
484,TRF TO E SIXTH ST PID (7911),TRF TO E SIXTH ST PID (7911)
485,THIRD PARTY ADMN COSTS TO DIST,THIRD PARTY ADMN COSTS TO DIST
486,SERVICES-WELLNESS PROGRAM,SERVICES-WELLNESS PROGRAM
487,SHORT-TERM DISABILITY PREMIUMS,SHORT-TERM DISABILITY PREMIUMS
488,CHILD CARE PROGRAM COSTS,CHILD CARE PROGRAM COSTS
489,LIFE INSURANCE PREMIUMS,LIFE INSURANCE PREMIUMS
490,EMPLOYEE BUS PASSES,EMPLOYEE BUS PASSES
491,LONG-TERM DISABILITY PREMIUMS,LONG-TERM DISABILITY PREMIUMS
492,SUPPLEMENTAL LIFE INS PREMIUMS,SUPPLEMENTAL LIFE INS PREMIUMS
493,DENTAL CLAIMS,DENTAL CLAIMS
494,CDHP CONTRIBUTION,CDHP CONTRIBUTION
495,PRESCRIPTION PLAN,PRESCRIPTION PLAN
496,MEDICAL CLAIMS,MEDICAL CLAIMS
497,STOP LOSS FEE-HEALTH INSURA,STOP LOSS FEE-HEALTH INSURA
498,INTERDEPTL-CONTRACTUAL SVCS,INTERDEPTL-CONTRACTUAL SVCS
499,MAINTENANCE-AIRPORT RUNWAYS,MAINTENANCE-AIRPORT RUNWAYS
500,REIMBURSED OVERTIME,REIMBURSED OVERTIME
