,Unit_id,UnitName
369,WASTEWATER OPERATIONS SUPPORT,WASTEWATER OPERATIONS SUPPORT
370,WASTEWATER LOGISTICS AND INVENTORY PLANNING,WASTEWATER LOGISTICS AND INVENTORY PLANNING
371,WASTEWATER ELECTRICAL MAINTENANCE,WASTEWATER ELECTRICAL MAINTENANCE
372,WASTEWATER INSTRUMENTATION & CONTROL,WASTEWATER INSTRUMENTATION & CONTROL
373,WASTEWATER ADMINISTRATIVE SERVICES,WASTEWATER ADMINISTRATIVE SERVICES
374,WASTEWATER ASSET MANAGEMENT,WASTEWATER ASSET MANAGEMENT
375,LIFT STATIONS,LIFT STATIONS
376,WASTEWATER UTILITY LINE LOCATORS,WASTEWATER UTILITY LINE LOCATORS
377,HOT SHOT CREWS WASTEWATER,HOT SHOT CREWS WASTEWATER
378,LOGISTICS TEAM - WASTEWATER,LOGISTICS TEAM - WASTEWATER
379,PIPELINE OPERATIONS SOUTH,PIPELINE OPERATIONS SOUTH
380,WASTEWATER COLLECTION SYSTEM MAINTENANCE,WASTEWATER COLLECTION SYSTEM MAINTENANCE
381,WASTEWATER CONSTRUCTION SERVICES,WASTEWATER CONSTRUCTION SERVICES
382,WASTEWATER TV INSPECTION,WASTEWATER TV INSPECTION
383,COLLECTIONS SYSTEM SERVICES,COLLECTIONS SYSTEM SERVICES
384,COMMUNICATIONS,COMMUNICATIONS
385,BUILDING PLAN REVIEW - INDUSTRIAL WASTE,BUILDING PLAN REVIEW - INDUSTRIAL WASTE
386,WASTEWATER LAB WALNUT,WASTEWATER LAB WALNUT
387,WASTEWATER LAB HORNSBY,WASTEWATER LAB HORNSBY
388,WASTEWATER PROCESS ENGINEERING,WASTEWATER PROCESS ENGINEERING
389,INDUSTRIAL WASTE CONTROL,INDUSTRIAL WASTE CONTROL
390,SOUTH AUSTIN REGIONAL OPERATIONS,SOUTH AUSTIN REGIONAL OPERATIONS
391,SOUTH AUSTIN REGIONAL MAINTENANCE,SOUTH AUSTIN REGIONAL MAINTENANCE
392,REMOTE FACILITIES,REMOTE FACILITIES
393,BUSINESS TECHNOLOGY,BUSINESS TECHNOLOGY
394,HORNSBY BEND WWTP OPERATIONS,HORNSBY BEND WWTP OPERATIONS
395,CROWD MANAGEMENT TEAM,CROWD MANAGEMENT TEAM
396,HORNSBY BEND WWTP MAINTENANCE,HORNSBY BEND WWTP MAINTENANCE
397,HORNSBY BEND RE-USE PROGRAM,HORNSBY BEND RE-USE PROGRAM
398,WALNUT CREEK WWTP OPERATIONS,WALNUT CREEK WWTP OPERATIONS
399,WALNUT CREEK WWTP MAINTENANCE,WALNUT CREEK WWTP MAINTENANCE
400,VICTIM SERVICES,VICTIM SERVICES
401,BALCONES CANYONLANDS CONS PLAN,BALCONES CANYONLANDS CONS PLAN
402,WATER CIP TRANSFERS TO,WATER CIP TRANSFERS TO
403,WASTEWATER CIP TRANSFERS TO,WASTEWATER CIP TRANSFERS TO
404,ATD DEVELOPMENT REVIEW,ATD DEVELOPMENT REVIEW
405,W-WW INVENTORY WEBBERVILLE,W-WW INVENTORY WEBBERVILLE
406,RIGHT-OF-WAY PERMITTING,RIGHT-OF-WAY PERMITTING
407,RIGHT-OF-WAY ENGINEERING,RIGHT-OF-WAY ENGINEERING
408,SPECIAL EVENTS,SPECIAL EVENTS
409,CORRIDOR PROGRAM OFFICE,CORRIDOR PROGRAM OFFICE
410,TRANSPORTATION ENGINEERING,TRANSPORTATION ENGINEERING
411,CAPITAL DELIVERY,CAPITAL DELIVERY
412,ACTIVE TRANSPORTATION AND STREET DESIGN,ACTIVE TRANSPORTATION AND STREET DESIGN
413,TRANSPORTATION DEMAND MANAGEMENT,TRANSPORTATION DEMAND MANAGEMENT
414,PLANNING & PROJECT DEVELOPMENT,PLANNING & PROJECT DEVELOPMENT
415,TRANSPORTATION SYSTEMS DEVELOPMENT,TRANSPORTATION SYSTEMS DEVELOPMENT
416,SIGNS AND MARKINGS,SIGNS AND MARKINGS
417,ARTERIAL MANAGEMENT,ARTERIAL MANAGEMENT
418,VISION ZERO,VISION ZERO
419,"DIRECTOR, TRANSPORTATION DEPARTMENT","DIRECTOR, TRANSPORTATION DEPARTMENT"
420,INFORMATION TECHNOLOGY,INFORMATION TECHNOLOGY
421,FINANCE AND ACCOUNTING,FINANCE AND ACCOUNTING
422,PUBLIC OUTREACH,PUBLIC OUTREACH
423,TRANSFERS,TRANSFERS
424,AIR QUALITY,AIR QUALITY
425,SMART MOBILITY,SMART MOBILITY
426,MOBILITY SERVICES MANAGEMENT,MOBILITY SERVICES MANAGEMENT
427,MOBILITY DATA MANAGMENT,MOBILITY DATA MANAGMENT
428,PARKING ENFORCEMENT,PARKING ENFORCEMENT
429,PARKING METER SHOP,PARKING METER SHOP
430,GROUND TRANSPORTATION SERVICES,GROUND TRANSPORTATION SERVICES
431,PARKING MANAGEMENT,PARKING MANAGEMENT
432,PARKING LOT OPERATIONS,PARKING LOT OPERATIONS
433,12TH FROM NAVASOTA TO WEBBERVILLE,12TH FROM NAVASOTA TO WEBBERVILLE
434,COMMUNICATION SWITCH,COMMUNICATION SWITCH
435,PLACEMAKING,PLACEMAKING
436,STP-MM LOCAL MATCH NEW,STP-MM LOCAL MATCH NEW
437,D/S AIRPORT P/L-COST,D/S AIRPORT P/L-COST
438,D/S CC TOWN LAKE VENUE PROJ,D/S CC TOWN LAKE VENUE PROJ
439,D/S CC WALLER CR VENUE PROJ,D/S CC WALLER CR VENUE PROJ
440,D/S CC HOT S/L REFUND,D/S CC HOT S/L REFUND
441,D/S UTILITY S/L-COST,D/S UTILITY S/L-COST
442,EUD DEBT MGMT TFR FROM/TO,EUD DEBT MGMT TFR FROM/TO
443,G O DEBT SERVICE REV/EXP,G O DEBT SERVICE REV/EXP
444,HUD SECTION 108 PARENT ACCOUNT,HUD SECTION 108 PARENT ACCOUNT
445,MAYOR AND COUNCIL ADMIN COSTS,MAYOR AND COUNCIL ADMIN COSTS
446,MAYOR CARRYFORWARD,MAYOR CARRYFORWARD
447,MAYOR,MAYOR
448,PLACE 1,PLACE 1
449,PLACE 1 CARRYFORWARD,PLACE 1 CARRYFORWARD
450,PLACE 2,PLACE 2
451,PLACE 2 CARRYFORWARD,PLACE 2 CARRYFORWARD
452,PLACE 3,PLACE 3
453,PLACE 3 CARRYFORWARD,PLACE 3 CARRYFORWARD
454,PLACE 4,PLACE 4
455,PLACE 4 CARRYFORWARD,PLACE 4 CARRYFORWARD
456,PLACE 5,PLACE 5
457,PLACE 5 CARRYFORWARD,PLACE 5 CARRYFORWARD
458,PLACE 6,PLACE 6
459,PLACE 6 CARRYFORWARD,PLACE 6 CARRYFORWARD
460,PLACE 7,PLACE 7
461,PLACE 7 CARRYFORWARD,PLACE 7 CARRYFORWARD
462,PLACE 8,PLACE 8
463,PLACE 8 CARRYFORWARD,PLACE 8 CARRYFORWARD
464,PLACE 9,PLACE 9
465,PLACE 9 CARRYFORWARD,PLACE 9 CARRYFORWARD
466,PLACE 10,PLACE 10
467,PLACE 10 CARRYFORWARD,PLACE 10 CARRYFORWARD
468,TRANSFERS OUT,TRANSFERS OUT
469,MGMT SVCS 1-TIME CRITICAL/OTHER,MGMT SVCS 1-TIME CRITICAL/OTHER
470,AGENDA OFFICE,AGENDA OFFICE
471,STRATEGIC COMMS &EXTERNAL RELATIONS,STRATEGIC COMMS &EXTERNAL RELATIONS
472,CHIEF OF STAFF,CHIEF OF STAFF
473,CITY MANAGER OFFICE,CITY MANAGER OFFICE
474,ACM HEALTH & ENVIRONMENT AND CULTURE & LIFELONG LEARNING,ACM HEALTH & ENVIRONMENT AND CULTURE & LIFELONG LEARNING
475,ACM GOVERNMENT THAT WORKS,ACM GOVERNMENT THAT WORKS
476,ACM ECONOMIC OPPORTUNITY & AFFORDABILITY,ACM ECONOMIC OPPORTUNITY & AFFORDABILITY
477,HEALTH SERVICES,HEALTH SERVICES
478,ACM SAFETY,ACM SAFETY
479,ACM MOBILITY,ACM MOBILITY
480,OFFICE OF CIVIL RIGHTS,OFFICE OF CIVIL RIGHTS
481,EQUITY OFFICE,EQUITY OFFICE
482,HSEM PREPAREDNESS/MITIGATION,HSEM PREPAREDNESS/MITIGATION
483,HSEM RESPONSE,HSEM RESPONSE
484,INTERGOVERNMENTAL RELATIONS,INTERGOVERNMENTAL RELATIONS
485,INNOVATION OFFICE,INNOVATION OFFICE
486,LABOR RELATIONS,LABOR RELATIONS
487,OFFICE OF THE CHIEF MEDICAL OFFICER,OFFICE OF THE CHIEF MEDICAL OFFICER
488,OFFICE OF POLICE OVERSIGHT,OFFICE OF POLICE OVERSIGHT
489,OPO CITIZEN REVIEW PANEL,OPO CITIZEN REVIEW PANEL
490,OPO OUTREACH,OPO OUTREACH
491,RECRUITING,RECRUITING
492,SUSTAINABILITY OFFICE,SUSTAINABILITY OFFICE
493,AUSTIN CLIMATE CONTROL,AUSTIN CLIMATE CONTROL
494,RESILIENCE HUBS,RESILIENCE HUBS
495,PROJECT CONNECT OFFICE,PROJECT CONNECT OFFICE
496,COUNCIL ELECTION,COUNCIL ELECTION
497,RECORDS AND INFORMATION MANAGEMENT SERVICES,RECORDS AND INFORMATION MANAGEMENT SERVICES
498,OTHER REQUIREMENTS CLERK,OTHER REQUIREMENTS CLERK
499,CASEFLOW MANAGEMENT,CASEFLOW MANAGEMENT
500,COURTROOM SUPPORT,COURTROOM SUPPORT
501,COMPLIANCE,COMPLIANCE
502,CIVIL PARKING,CIVIL PARKING
503,CENTRAL BOOKING SUPPORT,CENTRAL BOOKING SUPPORT
504,DACC OPERATIONS COORDINATION,DACC OPERATIONS COORDINATION
505,COURT SERVICES,COURT SERVICES
506,COMMUNITY SERVICE RESTITUTION,COMMUNITY SERVICE RESTITUTION
507,REHABILITATION SERVICES,REHABILITATION SERVICES
508,CENTRAL BOOKING,CENTRAL BOOKING
509,MUNICIPAL COURT JURY SERVICES,MUNICIPAL COURT JURY SERVICES
510,MUNICIPAL COURT JUVENILE DIVERSION,MUNICIPAL COURT JUVENILE DIVERSION
511,INFORMATION TECHNOLOGY SERVICES,INFORMATION TECHNOLOGY SERVICES
512,MUNI CTR 1-TIME CRITICAL/OTHER,MUNI CTR 1-TIME CRITICAL/OTHER
513,MUNICIPAL COURT TECHNOLOGY FUND,MUNICIPAL COURT TECHNOLOGY FUND
514,MUNICIPAL COURT BUILDING SECURITY,MUNICIPAL COURT BUILDING SECURITY
515,XFER-TAX INCREMENT FINANC FUND,XFER-TAX INCREMENT FINANC FUND
516,EMERGENCY RESPONSE,EMERGENCY RESPONSE
517,PAY FOR SUCCESS RESERVE,PAY FOR SUCCESS RESERVE
518,PROJECT CONNECT,PROJECT CONNECT
519,INFORMATION SECURITY OFFICE,INFORMATION SECURITY OFFICE
520,DEVEL SVCS 1-TIME CRITICAL/OTHER,DEVEL SVCS 1-TIME CRITICAL/OTHER
521,RESIDENTIAL BLDG INSPECTION,RESIDENTIAL BLDG INSPECTION
522,COMMERCIAL BLDG INSPECTION,COMMERCIAL BLDG INSPECTION
523,COMMERCIAL PLAN REVIEW,COMMERCIAL PLAN REVIEW
524,EXPEDITED BUILDING PLAN REVIEW,EXPEDITED BUILDING PLAN REVIEW
525,RESIDENTIAL PLAN REVIEW,RESIDENTIAL PLAN REVIEW
526,ALARM PERMITTING,ALARM PERMITTING
527,GENERAL PERMIT/TELECOM AND ROW,GENERAL PERMIT/TELECOM AND ROW
528,UNDERGROUND STORAGE,UNDERGROUND STORAGE
529,SITE/SUBDIVISION INSPECTION,SITE/SUBDIVISION INSPECTION
530,ENVIRONMENTAL INSPECTION,ENVIRONMENTAL INSPECTION
531,CITY ARBORIST PROGRAM,CITY ARBORIST PROGRAM
532,URBAN FORESTRY PROGRAM,URBAN FORESTRY PROGRAM
533,LAND MANAGEMENT,LAND MANAGEMENT
534,REGULATORY POLICY AND ADMINISTRATION,REGULATORY POLICY AND ADMINISTRATION
535,LAND DEVELOPMENT INFORMATION SERVICES,LAND DEVELOPMENT INFORMATION SERVICES
536,LAND DEVELOPMENT AND PERMITTING MGMT,LAND DEVELOPMENT AND PERMITTING MGMT
537,GENERAL PERMIT PROGRAM,GENERAL PERMIT PROGRAM
538,CIP PERMIT REVIEW,CIP PERMIT REVIEW
539,LAND USE REVIEW TEAM,LAND USE REVIEW TEAM
540,LAND DEVELOPMENT PLANNING & DESIGN ENGINEERING,LAND DEVELOPMENT PLANNING & DESIGN ENGINEERING
541,MUSIC & ENTERTAINMENT PERMITTING,MUSIC & ENTERTAINMENT PERMITTING
542,SMALL CELL PERMITTING,SMALL CELL PERMITTING
543,BUILDING & TRADE CONTRACTOR SERVICES,BUILDING & TRADE CONTRACTOR SERVICES
544,INTAKE,INTAKE
545,STAKEHOLDER AND COMMUNITY ENGAGEMENT,STAKEHOLDER AND COMMUNITY ENGAGEMENT
546,PROFESSIONAL STANDARDS,PROFESSIONAL STANDARDS
547,TRAINING COMMAND,TRAINING COMMAND
548,RECORDS,RECORDS
549,AUSTIN CENTER FOR EVENTS,AUSTIN CENTER FOR EVENTS
550,TECHNOLOGY SURCHARGE,TECHNOLOGY SURCHARGE
551,INTERFUND TRANSFERS - OTHER,INTERFUND TRANSFERS - OTHER
552,PLANTING FOR THE FUTURE TRUST,PLANTING FOR THE FUTURE TRUST
553,URBAN FOREST REPLENISHMENT FUND,URBAN FOREST REPLENISHMENT FUND
554,ECON DEVEL 1-TIME CRITICAL/OTHER,ECON DEVEL 1-TIME CRITICAL/OTHER
555,ELIGIBLE HISTORIC PRESERVATION USES,ELIGIBLE HISTORIC PRESERVATION USES
556,MUSIC,MUSIC
557,PROGRAM ADMINISTRATION,PROGRAM ADMINISTRATION
558,ACOT SPONSORED PROJECTS,ACOT SPONSORED PROJECTS
559,BIG MEDIUM SPONSORED PROJECTS,BIG MEDIUM SPONSORED PROJECTS
560,LANNAYA WEST AFRICAN DRUM & DANCE ENSEMBLE,LANNAYA WEST AFRICAN DRUM & DANCE ENSEMBLE
561,COMMUNITY INITIATIVES,COMMUNITY INITIATIVES
562,LUPE ARTE,LUPE ARTE
563,ZACH SCOTT THEATRE CTR MAINTEN,ZACH SCOTT THEATRE CTR MAINTEN
564,AUS FILM SCTY SPONS PROJECTS,AUS FILM SCTY SPONS PROJECTS
565,MOTION MEDIA ARTS/S. BELYEU,MOTION MEDIA ARTS/S. BELYEU
566,TEATRO VIVO,TEATRO VIVO
567,CULTURAL HERITAGE FESTIVAL PRG,CULTURAL HERITAGE FESTIVAL PRG
568,TEMPO PROGRAM,TEMPO PROGRAM
569,VISIONS IN RHYTHM SPS,VISIONS IN RHYTHM SPS
570,FAST FORWARD AUSTIN,FAST FORWARD AUSTIN
571,MOVING IMAGE ARTS AND EDUCATION (SPONSORED PROJECTS),MOVING IMAGE ARTS AND EDUCATION (SPONSORED PROJECTS)
572,WATERLOO WIND BAND,WATERLOO WIND BAND
573,LIVE MUSIC,LIVE MUSIC
574,RMMA DEVELOPER REIMBURSEMENT,RMMA DEVELOPER REIMBURSEMENT
575,MUELLER LOCAL GOVERNMENT CORP,MUELLER LOCAL GOVERNMENT CORP
576,FAMILY BUSINESS LOAN PROGRAM,FAMILY BUSINESS LOAN PROGRAM
577,COMMUNITY AND CREATIVE INDUSTRY SERVICES,COMMUNITY AND CREATIVE INDUSTRY SERVICES
578,HERITAGE FACILITY,HERITAGE FACILITY
579,GLOBAL BUSINESS RECRUITMENT AND EXPANSION,GLOBAL BUSINESS RECRUITMENT AND EXPANSION
580,HERITAGE TOURISM,HERITAGE TOURISM
581,PROJECT DELIVERY / REDEVELOPMENT,PROJECT DELIVERY / REDEVELOPMENT
582,DOWNTOWN INITIATIVES,DOWNTOWN INITIATIVES
583,SMALL BUSINESS ASSISTANCE SERVICES,SMALL BUSINESS ASSISTANCE SERVICES
584,SMALL BUSINESS ECONOMIC DEVELOPMENT,SMALL BUSINESS ECONOMIC DEVELOPMENT
585,FINANCIAL MONITORING,FINANCIAL MONITORING
586,WORKFORCE DEVELOPMENT,WORKFORCE DEVELOPMENT
587,ECONOMIC OUTREACH SERVICES,ECONOMIC OUTREACH SERVICES
588,COVID-ECONOMIC SUPPORT,COVID-ECONOMIC SUPPORT
589,OTHER REQUIREMENTS ECO DEV,OTHER REQUIREMENTS ECO DEV
590,PUBLIC IMPROVEMENT DISTRICT EXPENSES,PUBLIC IMPROVEMENT DISTRICT EXPENSES
591,PUBLIC IMPROVEMENT DISTRICT ADMIN,PUBLIC IMPROVEMENT DISTRICT ADMIN
592,SECOND STREET TIF EXPENDITURES,SECOND STREET TIF EXPENDITURES
593,ECONOMIC INCENTIVES RESERVE,ECONOMIC INCENTIVES RESERVE
594,STRATEGIC INVESTMENT,STRATEGIC INVESTMENT
595,ENTERPRISE BUSINESS INTELLIGENCE,ENTERPRISE BUSINESS INTELLIGENCE
596,GEOSPATIAL DATA SERVICE,GEOSPATIAL DATA SERVICE
597,GEOSPATIAL TECH MANAGEMENT,GEOSPATIAL TECH MANAGEMENT
598,CASE MANAGEMENT,CASE MANAGEMENT
599,GEOSPATIAL SYSTEMS MANAGEMENT,GEOSPATIAL SYSTEMS MANAGEMENT
600,DATA SERVICES,DATA SERVICES
601,DIGITAL WORKPLACE,DIGITAL WORKPLACE
602,PROJECT MANAGEMENT OFFICE,PROJECT MANAGEMENT OFFICE
603,ENTERPRISE GEOSPATIAL SERVICES,ENTERPRISE GEOSPATIAL SERVICES
604,WEB SERVICES,WEB SERVICES
605,DIGITAL STRATEGY & SOLUTIONS,DIGITAL STRATEGY & SOLUTIONS
606,CADET TRAINING,CADET TRAINING
607,SERVICE DESK,SERVICE DESK
608,BUSINESS RELATIONSHIP MANAGMENT,BUSINESS RELATIONSHIP MANAGMENT
609,ENDPOINT MANAGEMENT,ENDPOINT MANAGEMENT
610,CITY HALL AND AV SUPPORT,CITY HALL AND AV SUPPORT
611,ENTERPRISE INFRASTRUCTURE,ENTERPRISE INFRASTRUCTURE
612,MICROSOFT & ENTERPRISE SYSTEMS ADMIN,MICROSOFT & ENTERPRISE SYSTEMS ADMIN
613,DATA CENTER OPERATIONS,DATA CENTER OPERATIONS
614,SECURITY OPERATIONS,SECURITY OPERATIONS
615,UNIFIED COMMUNICATIONS,UNIFIED COMMUNICATIONS
616,NETWORK,NETWORK
617,GREATER AUSTIN AREA TELECOMMUNICATIONS NETWORK (GAATN),GREATER AUSTIN AREA TELECOMMUNICATIONS NETWORK (GAATN)
618,ENTERPRISE ASSET MANAGEMENT,ENTERPRISE ASSET MANAGEMENT
619,FINANCIAL MONITORING / BUDGETING,FINANCIAL MONITORING / BUDGETING
620,CTECC OPERATIONS,CTECC OPERATIONS
621,PUBLIC SAFETY PROGRAM AND APPLICATION SERVICES,PUBLIC SAFETY PROGRAM AND APPLICATION SERVICES
622,PUBLIC SAFETY DATA SERVICES,PUBLIC SAFETY DATA SERVICES
623,PUBLIC SAFETY PROJECTS,PUBLIC SAFETY PROJECTS
624,PUBLIC SAFETY ENTERPRISE SERVICES,PUBLIC SAFETY ENTERPRISE SERVICES
625,PUBLIC SAFETY CUSTOMER RELATIONSHIP MGMT,PUBLIC SAFETY CUSTOMER RELATIONSHIP MGMT
626,FIELD OPERATIONS,FIELD OPERATIONS
627,GREATER AUSTIN-TRAVIS COUNTY REGIONAL RADIO SYSTEM (GATRRS),GREATER AUSTIN-TRAVIS COUNTY REGIONAL RADIO SYSTEM (GATRRS)
628,RADIO NETWORK EQUIPMENT,RADIO NETWORK EQUIPMENT
629,INSTALLATION OPERATIONS,INSTALLATION OPERATIONS
630,SHOP OPERATIONS,SHOP OPERATIONS
631,GENERAL LITIGATION,GENERAL LITIGATION
632,CRIMINAL PROSECUTION,CRIMINAL PROSECUTION
633,UTILITY AND REGULATORY,UTILITY AND REGULATORY
634,"OPEN GOVERNMENT, ETHICS, AND COMPLIANCE","OPEN GOVERNMENT, ETHICS, AND COMPLIANCE"
635,GENERAL COUNSEL,GENERAL COUNSEL
636,MUNICIPAL OPERATIONS,MUNICIPAL OPERATIONS
637,LAND USE AND REAL ESTATE,LAND USE AND REAL ESTATE
638,PUBLIC INFORMATION REQUESTS,PUBLIC INFORMATION REQUESTS
639,CODE COMPLIANCE CLAIMS,CODE COMPLIANCE CLAIMS
640,MAYOR & COUNCIL CLAIMS,MAYOR & COUNCIL CLAIMS
641,OFFICE OF REAL ESTATE SRVS CLAIMS,OFFICE OF REAL ESTATE SRVS CLAIMS
642,CITY MANAGER CLAIMS,CITY MANAGER CLAIMS
643,DVPT SERVICES CLAIMS,DVPT SERVICES CLAIMS
644,HUMAN RESOURCES CLAIMS,HUMAN RESOURCES CLAIMS
645,PUBLIC WORKS CLAIMS,PUBLIC WORKS CLAIMS
646,NEIGHBORHD PLAN/ZONING CLAIMS,NEIGHBORHD PLAN/ZONING CLAIMS
647,NEIGHB.HOUSING (NOT AHFC),NEIGHB.HOUSING (NOT AHFC)
648,BUILDING SERVICES CLAIMS,BUILDING SERVICES CLAIMS
649,FIRE CLAIMS,FIRE CLAIMS
650,LIBRARY CLAIMS,LIBRARY CLAIMS
651,PARKS & RECREATION CLAIMS,PARKS & RECREATION CLAIMS
652,POLICE CLAIMS,POLICE CLAIMS
653,HEALTH & HUMAN SERVICES CLAIMS,HEALTH & HUMAN SERVICES CLAIMS
654,ANIMAL SERVICES CLAIMS,ANIMAL SERVICES CLAIMS
655,EMERGENCY MEDICAL SRVCS CLAIMS,EMERGENCY MEDICAL SRVCS CLAIMS
656,SOLID WASTE SERVICES CLAIMS,SOLID WASTE SERVICES CLAIMS
657,TRANSPORTATION CLAIMS,TRANSPORTATION CLAIMS
658,PW - TRANSPORTATION CLAIMS,PW - TRANSPORTATION CLAIMS
659,WATERSHED CLAIMS,WATERSHED CLAIMS
660,FLEET CLAIMS,FLEET CLAIMS
661,SUPPORT COSTS,SUPPORT COSTS
662,LAW SUPPORT COSTS,LAW SUPPORT COSTS
663,FSD SUPPORT COSTS,FSD SUPPORT COSTS
664,PERSONNEL POLICIES AND PRO,PERSONNEL POLICIES AND PRO
665,POLICE HR SERVICES,POLICE HR SERVICES
666,CIVIL SERVICES MANAGEMENT,CIVIL SERVICES MANAGEMENT
667,MUNICIPAL CIVIL SERVICE,MUNICIPAL CIVIL SERVICE
668,LABOR RELATIONS OFFICE,LABOR RELATIONS OFFICE
669,ORGANIZATIONAL DEVELOPMENT CON,ORGANIZATIONAL DEVELOPMENT CON
670,LEARNING RESEARCH CENTER,LEARNING RESEARCH CENTER
671,EMPLOYEE RECORDS,EMPLOYEE RECORDS
672,HR MGT SYSTEM SERVICES,HR MGT SYSTEM SERVICES
673,HIRING AND RECRUITMENT,HIRING AND RECRUITMENT
674,"RECRUITMENT, EQUITY & INCLUSION","RECRUITMENT, EQUITY & INCLUSION"
675,COMPENSATION & CLASSIFICATION,COMPENSATION & CLASSIFICATION
676,BENEFITS MANAGEMENT SERVICES,BENEFITS MANAGEMENT SERVICES
677,PROPERTY & CASUALTY MANAGMENT,PROPERTY & CASUALTY MANAGMENT
678,ROCIP ROLLING OWNER CONTROLLED,ROCIP ROLLING OWNER CONTROLLED
679,CORPORATE SAFETY OFFICE,CORPORATE SAFETY OFFICE
680,INJURED WORKERS ASSISTANCE,INJURED WORKERS ASSISTANCE
681,ADA,ADA
682,CITYWIDE INITIATIVE,CITYWIDE INITIATIVE
683,OPERATIONS & ADMINISTRATION,OPERATIONS & ADMINISTRATION
684,SETTLEMENTS,SETTLEMENTS
685,MEDICAL EXPENSES,MEDICAL EXPENSES
686,TOTAL INDEMNITY,TOTAL INDEMNITY
687,ALLOCATED EXPENSES,ALLOCATED EXPENSES
688,FULLY FUNDED BY CITY - EMPLOYEE,FULLY FUNDED BY CITY - EMPLOYEE
689,OPTIONAL COVERAGE PAID BY EMPLOYEE,OPTIONAL COVERAGE PAID BY EMPLOYEE
690,OPTIONAL COVERAGE PAID BY RETIREE,OPTIONAL COVERAGE PAID BY RETIREE
691,EMPLOYEE DENTAL - SELF INSURED,EMPLOYEE DENTAL - SELF INSURED
692,EMPLOYEE MEDICAL CDHP,EMPLOYEE MEDICAL CDHP
693,EMPLOYEE MEDICAL HMO,EMPLOYEE MEDICAL HMO
694,EMPLOYEE SELF-FUNDED PPO - CLAIMS PAID,EMPLOYEE SELF-FUNDED PPO - CLAIMS PAID
695,RETIREE WITH MEDICARE ADVANTAGE,RETIREE WITH MEDICARE ADVANTAGE
696,ADMINISTRATIVE COSTS,ADMINISTRATIVE COSTS
697,ELIGIBILITY ADMINISTRATION,ELIGIBILITY ADMINISTRATION
698,FLEXTRA ADMINISTRATION,FLEXTRA ADMINISTRATION
699,COBRA ADMINISTRATION,COBRA ADMINISTRATION
700,UNEMPLOYMENT,UNEMPLOYMENT
701,CPIO 1-TIME CRITICAL/OTHER,CPIO 1-TIME CRITICAL/OTHER
702,INFORMATION RESOURCES MNGT,INFORMATION RESOURCES MNGT
703,COMMUNITY ENGAGEMENT,COMMUNITY ENGAGEMENT
704,MEDIA RELATIONS,MEDIA RELATIONS
705,PUBLIC SAFETY COMMUNICATIONS,PUBLIC SAFETY COMMUNICATIONS
706,TELEVISION PRODUCTION,TELEVISION PRODUCTION
707,CONTENT - INTERNET,CONTENT - INTERNET
708,PROJECT MANAGEMENT,PROJECT MANAGEMENT
709,ARCHITECTURE PROJECT MANAGEMENT DIVISION,ARCHITECTURE PROJECT MANAGEMENT DIVISION
710,LARGE PROGRAM AND SPONSOR MANAGED PROJECTS,LARGE PROGRAM AND SPONSOR MANAGED PROJECTS
711,CIVIL PROJECT MANAGEMENT,CIVIL PROJECT MANAGEMENT
712,UTILITY PROJECT MANAGEMENT,UTILITY PROJECT MANAGEMENT
713,PROCEDURE AND TRAINING MANAGEMENT,PROCEDURE AND TRAINING MANAGEMENT
714,CDS ADMINISTRATION AND PROGRAM MANAGEMENT,CDS ADMINISTRATION AND PROGRAM MANAGEMENT
715,CONSTRUCTION MANAGEMENT,CONSTRUCTION MANAGEMENT
716,ENGINEERING SERVICES,ENGINEERING SERVICES
717,"QUALITY MANAGEMENT, PROCESS AND STANDARDS","QUALITY MANAGEMENT, PROCESS AND STANDARDS"
718,PROJECT CONTROLS AND REPORTING,PROJECT CONTROLS AND REPORTING
719,PERMITTING AND UTILITY COORDINATION,PERMITTING AND UTILITY COORDINATION
720,PDS ADMINISTRATION AND PROGRAM MANAGEMENT,PDS ADMINISTRATION AND PROGRAM MANAGEMENT
721,INTERNAL AUDIT MANAGEMENT DIVISION,INTERNAL AUDIT MANAGEMENT DIVISION
722,"FACILITY, FLEET, AND REAL ESTATE MANAGEMENT DIVISION","FACILITY, FLEET, AND REAL ESTATE MANAGEMENT DIVISION"
723,CAPITAL CONTRACT MANAGEMENT DIVISION,CAPITAL CONTRACT MANAGEMENT DIVISION
724,BE ADMINISTRATION AND PROGRAM MANAGEMENT,BE ADMINISTRATION AND PROGRAM MANAGEMENT
725,FINANCIAL SERVICES DIVISION,FINANCIAL SERVICES DIVISION
726,TECHNOLOGY SERVICES DIVISION,TECHNOLOGY SERVICES DIVISION
727,CHIEF OF STAFF ADMINISTRATION AND PROGRAM MANAGEMENT,CHIEF OF STAFF ADMINISTRATION AND PROGRAM MANAGEMENT
728,PUBLIC AFFAIRS AND COMMUNICATIONS,PUBLIC AFFAIRS AND COMMUNICATIONS
729,OFFICE OF THE DIRECTOR,OFFICE OF THE DIRECTOR
730,PERFORMANCE MANAGEMENT,PERFORMANCE MANAGEMENT
731,PROJECT SYSTEMS OFFICE,PROJECT SYSTEMS OFFICE
732,TRANSFERS OUT - OPERATING,TRANSFERS OUT - OPERATING
733,LEARNED SKILLS UNIT,LEARNED SKILLS UNIT
